"Informazioni cronologiche","Domanda 1.  Ritieni che lo Stato dovrebbe intervenire, creando direttamente posti di lavoro?","Domanda 2. Saresti favorevole a un piano straordinario di assunzioni nella Pubblica Amministrazione finanziate con un piccolo prelievo fiscale (l’1) sui PATRIMONI FINANZIARI, quindi conti in banca, azioni, obbligazioni, bot, ma NON su case, terreni o altri beni immobili, con una quota esente di 100.000E. (Quindi chi avesse un patrimonio inferiore a 100.000E non pagherebbe nulla, chi avesse un patrimonio di 150.000E pagherebbe l’1 di 50.000E perché i primi 100.000 sarebbero esenti, chi avesse un patrimonio d1 200.000E pagherebbe l’1 di 100.000E e così via).","Domanda 3. In un eventuale sondaggio su un campione rappresentativo a livello nazionale, quale percentuale (circa) di intervistati secondo te risponderebbe sì alla domanda 1?","Domanda 4. E quale percentuale (circa) dichiarerebbe di essere favorevole (abbastanza+molto) rispondendo alla domanda 2?","Domanda 5. Sei un/una"
"2021/11/15 10:04:29 AM CET","No","Sarei piuttosto contrario","85","80","Economista"
"2021/11/15 10:09:08 AM CET","No","Sarei abbastanza favorevole","70","38","Economista"
"2021/11/15 10:12:06 AM CET","Sì","Non saprei","70","50","Altro"
"2021/11/15 10:13:40 AM CET","No","Sarei piuttosto contrario","30","15","Economista"
"2021/11/15 10:14:14 AM CET","No","Sarei piuttosto contrario","80","70","Altro"
"2021/11/15 10:18:06 AM CET","No","Sarei molto contrario","0","0","Economista"
"2021/11/15 10:27:28 AM CET","Sì","Non saprei","70","70","Altro"
"2021/11/15 10:29:20 AM CET","No","Sarei molto contrario","45","50","Economista"
"2021/11/15 10:31:31 AM CET","No","Sarei molto contrario","60","20","Economista"
"2021/11/15 11:03:32 AM CET","No","Sarei piuttosto contrario","55","75","Altro"
"2021/11/15 11:06:15 AM CET","No","Sarei molto contrario","50","80","Economista"
"2021/11/15 11:19:49 AM CET","Sì","Sarei molto favorevole","70","70","Economista"
"2021/11/15 11:46:32 AM CET","Sì","Sarei abbastanza favorevole","90","75","Economista"
"2021/11/15 11:50:55 AM CET","No","Sarei molto contrario","10","20","Economista"
"2021/11/15 11:52:54 AM CET","Sì","Sarei abbastanza favorevole","20","30","Altro"
"2021/11/15 11:53:01 AM CET","Sì","Sarei piuttosto contrario","80","40","Economista"
"2021/11/15 11:53:02 AM CET","Sì","Sarei piuttosto contrario","90","60","Economista"
"2021/11/15 12:09:09 PM CET","Sì","Sarei abbastanza favorevole","20","20","Altro"
"2021/11/15 12:10:01 PM CET","No","Sarei piuttosto contrario","50","15","Altro"
"2021/11/15 1:44:08 PM CET","Sì","Sarei abbastanza favorevole","50","70","Economista"
"2021/11/15 1:47:52 PM CET","No","Sarei piuttosto contrario","60","40","Altro"
"2021/11/15 2:54:08 PM CET","Non saprei","Sarei abbastanza favorevole","67","50","Economista"
"2021/11/15 3:45:55 PM CET","No","Sarei molto contrario","60","75","Economista"
"2021/11/15 4:35:54 PM CET","Sì","Sarei abbastanza favorevole","10","10","Economista"
"2021/11/15 6:25:41 PM CET","Sì","Sarei molto favorevole","35","55","Economista"
"2021/11/15 6:39:03 PM CET","Sì","Sarei molto favorevole","50","40","Economista"
"2021/11/16 9:14:21 AM CET","Sì","Sarei abbastanza favorevole","75","70","Altro"
"2021/11/16 11:09:14 AM CET","Sì","Sarei abbastanza favorevole","70","60","Economista"
"2021/11/16 2:09:32 PM CET","Non saprei","Sarei molto contrario","70","50","Economista"
"2021/11/16 4:13:17 PM CET","Sì","Sarei molto favorevole","65","50","Economista"
"2021/11/17 10:57:02 AM CET","Sì","Sarei molto favorevole","60","50","Economista"
"2021/11/17 12:47:38 PM CET","Sì","Sarei abbastanza favorevole","30","60","Altro"
"2021/11/17 3:00:50 PM CET","Sì","Sarei abbastanza favorevole","70","70","Altro"
