ID;Q002;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q019;Q020;Q021;Q022;Q023;Q024;Q025;peso
1;Donna;45-54 anni;sud;da 100001 a 250000 abitanti;laurea;coppia con figli;libero professionista;a sinistra;Italiana;Si';Non saprei;Si, abbastanza;in occasione delle principali feste;aree centrali di grandi citta';con tranquillita';Occupato;Autonomi;;Alta;GENERAZIONE X;Cattolico non praticante;0,2
2;Uomo;35-44 anni;centro;da 30001 a 100000 abitanti;no laurea;coppia con figli;agricoltore;al centro;Italiana;Si';No, sarei contrario;No, sarei molto contrario;in occasione delle principali feste;periferia;mi sento povero e non arrivo mai a fine mese;Occupato;Autonomi;;Media;GENERAZIONE X;Cattolico non praticante;2,65
3;Uomo;oltre 64 anni;nord-ovest;da 100001 a 250000 abitanti;no laurea;coppia con figli;imprenditore;a centro destra;Italiana;Si';Si, abbastanza;Si, abbastanza;la domenica;periferia;con tranquillita';Occupato;Autonomi;;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,7
4;Uomo;oltre 64 anni;sud;da 5001 a 10000 abitanti;no laurea;coppia con figli;ritirato dal lavoro/pensionato;in nessuna area politica;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;mai;periferia;con tranquillita';Non occupato;Pensionati;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;1,4
5;Donna;35-44 anni;nord-est;da 10001 a 30000 abitanti;laurea;coppia senza figli;impiegato;preferisco non rispondere;Italiana;Non saprei;Non saprei;Non saprei;in occasione delle principali feste;citta' medie;arrivo a fine mese con molte difficolta';Occupato;Dipendenti;Pubblico;Alta;MILLENNIALS;Cattolico non praticante;0,65
6;Donna;35-44 anni;nord-est;da 100001 a 250000 abitanti;laurea;coppia senza figli;impiegato;in nessuna area politica;Italiana;Si';Si, molto;No, sarei molto contrario;mai;periferia;con tranquillita';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;Cattolico non praticante;0,33
7;Donna;45-54 anni;nord-est;oltre 250000 abitanti;laurea;coppia con figli;quadro/direttivo/tecnico;a sinistra;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;alcune volte l'anno;periferia;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,22
8;Donna;35-44 anni;nord-est;da 5001 a 10000 abitanti;laurea;coppia senza figli;impiegato;al centro;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;mai;piccoli centri;avverto difficolta';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;Cattolico non praticante;0,33
9;Donna;35-44 anni;centro;da 10001 a 30000 abitanti;no laurea;coppia con figli;libero professionista;a sinistra;Italiana;No;Si, molto;No, sarei contrario;mai;citta' medie;con tranquillita';Occupato;Autonomi;;Media;GENERAZIONE X;Cattolico non praticante;0,93
10;Uomo;oltre 64 anni;nord-ovest;da 10001 a 30000 abitanti;laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;No;No, sarei contrario;No, sarei molto contrario;mai;citta' medie;con tranquillita';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;Cattolico non praticante;0,25
11;Uomo;45-54 anni;nord-ovest;da 5001 a 10000 abitanti;no laurea;coppia con figli;operaio;a sinistra;Italiana;Si';Si, abbastanza;No, sarei contrario;non sono credente;piccoli centri;avverto difficolta';Occupato;Operai;Privato;Media;GENERAZIONE X;non credente;0,67
12;Uomo;45-54 anni;nord-est;fino a 5000 abitanti;laurea;vive da solo 35-54 anni;libero professionista;a centro sinistra;Italiana;No;No, sarei contrario;No, sarei contrario;la domenica;piccoli centri;con tranquillita';Occupato;Autonomi;;Alta;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,23
13;Donna;45-54 anni;centro;oltre 250000 abitanti;laurea;coppia con figli;dirigente;a centro sinistra;Italiana;Si';Si, abbastanza;Si, abbastanza;alcune volte l'anno;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;Cattolico non praticante;0,24
14;Donna;55-64 anni;nord-ovest;oltre 250000 abitanti;no laurea;coppia con figli;quadro/direttivo/tecnico;a centro destra;Italiana;Si';No, sarei molto contrario;Si, abbastanza;alcune volte l'anno;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Media;BABY BOOMERS;Cattolico non praticante;1,36
15;Donna;45-54 anni;nord-ovest;da 5001 a 10000 abitanti;laurea;coppia con figli;altro lavoratore autonomo/agente di commercio/rappresentante;a destra;Italiana;Si';No, sarei contrario;No, sarei molto contrario;mai;piccoli centri;con tranquillita';Occupato;Autonomi;;Alta;GENERAZIONE X;Cattolico non praticante;0,39
16;Donna;55-64 anni;nord-ovest;oltre 250000 abitanti;laurea;single vive con altre persone (amici, parenti);impiegato;a centro sinistra;Italiana;Si';Si, abbastanza;Si, abbastanza;alcune volte l'anno;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Alta;BABY BOOMERS;Cattolico non praticante;0,2
17;Uomo;35-44 anni;centro;oltre 250000 abitanti;laurea;coppia senza figli;impiegato;in nessuna area politica;Italiana;Si';Si, molto;No, sarei molto contrario;mai;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Alta;MILLENNIALS;Cattolico non praticante;0,88
18;Uomo;55-64 anni;sud;da 30001 a 100000 abitanti;laurea;coppia con figli;impiegato;a centro sinistra;Italiana;Non saprei;Si, abbastanza;Si, abbastanza;alcune volte l'anno;periferia;con tranquillita';Occupato;Dipendenti;Privato;Alta;BABY BOOMERS;Cattolico non praticante;1,03
19;Uomo;18-24 anni;nord-ovest;da 5001 a 10000 abitanti;no laurea;vive da solo 35-54 anni;commerciante;in nessuna area politica;sono apolide;Non saprei;No, sarei molto contrario;No, sarei molto contrario;non sono credente;piccoli centri;avverto difficolta';Occupato;Autonomi;;Media;GENERAZIONE Z;non credente;2,67
20;Uomo;45-54 anni;nord-ovest;da 30001 a 100000 abitanti;no laurea;coppia senza figli;impiegato;a destra;Italiana;Si';Si, molto;Si, molto;in occasione delle principali feste;periferia;con tranquillita';Occupato;Dipendenti;Privato;Media;GENERAZIONE X;Cattolico non praticante;1,47
21;Donna;45-54 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;vive da solo 35-54 anni;disoccupato (ex-occupato);a centro destra;Italiana;Si';Si, molto;Si, molto;in occasione delle principali feste;periferia;mi sento povero e non arrivo mai a fine mese;Non occupato;Disoccupati;Privato;Media;GENERAZIONE X;Cattolico non praticante;1,16
22;Donna;oltre 64 anni;centro;oltre 250000 abitanti;laurea;coppia senza figli;casalinga;a centro destra;Italiana;Non saprei;No, sarei molto contrario;No, sarei molto contrario;la domenica;aree centrali di grandi citta';con tranquillita';Non occupato;Casalinghe;;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,91
23;Donna;55-64 anni;sud;da 30001 a 100000 abitanti;laurea;coppia con figli;impiegato;a centro destra;Italiana;Si';No, sarei molto contrario;No, sarei molto contrario;la domenica;altro;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,42
24;Donna;oltre 64 anni;isole;da 30001 a 100000 abitanti;laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;in nessuna area politica;Italiana;Si';Si, molto;No, sarei contrario;la domenica;altro;con tranquillita';Non occupato;Pensionati;Pubblico;Alta;SILENT;Cattolico praticante (fino a 1 volta al mese);1,24
25;Donna;55-64 anni;isole;da 10001 a 30000 abitanti;laurea;coppia con figli;docente/insegnante di scuola superiore;al centro;Italiana;Si';Si, abbastanza;Non saprei;in occasione delle principali feste;periferia;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;Cattolico non praticante;0,31
