ID;Q003;Q004;Q005;Q006;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q018;Q019;Q020;Q021;Q022;Q023;Q024;peso
1;Donna;25-34 anni;sud;da 30001 a 100000 abitanti;no laurea;coppia con figli;commerciante;al centro;Italiana;Non saprei;No, sarei molto contrario;ogni giorno;periferia;mi sento povero e non arrivo mai a fine mese;Occupato;Autonomi;;Media;MILLENNIALS;Cattolico praticante (fino a 1 volta al mese);3,3
2;Uomo;55-64 anni;centro;da 10001 a 30000 abitanti;no laurea;coppia con figli;quadro/direttivo/tecnico;a sinistra;Italiana;Si';Si, molto;mai;citta' medie;con tranquillita';Occupato;Dipendenti;Privato;Media;BABY BOOMERS;Cattolico non praticante;0,46
3;Donna;45-54 anni;nord-est;oltre 250000 abitanti;laurea;coppia con figli;quadro/direttivo/tecnico;a sinistra;Italiana;Si';Si, abbastanza;alcune volte l'anno;periferia;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico non praticante;0,16
4;Uomo;55-64 anni;sud;da 30001 a 100000 abitanti;no laurea;coppia con figli;imprenditore;in nessuna area politica;Italiana;No;Si, abbastanza;mai;altro;con tranquillita';Occupato;Autonomi;;Media;GENERAZIONE X;Cattolico non praticante;0,52
5;Uomo;55-64 anni;isole;da 10001 a 30000 abitanti;no laurea;coppia senza figli;dirigente;a centro sinistra;Italiana;Si';Si, molto;mai;citta' medie;avverto difficolta';Occupato;Dipendenti;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;1,09
6;Uomo;55-64 anni;nord-est;da 30001 a 100000 abitanti;laurea;single vive con altre persone (amici, parenti);impiegato;in nessuna area politica;Italiana;Non saprei;No, sarei contrario;la domenica;citta' medie;con tranquillita';Occupato;Dipendenti;Privato;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);1,59
7;Uomo;oltre 64 anni;centro;oltre 250000 abitanti;no laurea;coppia con figli;impiegato;a sinistra;Italiana;No;No, sarei contrario;in occasione delle principali feste;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Privato;Media;BABY BOOMERS;Cattolico non praticante;1,9
8;Donna;35-44 anni;nord-est;da 30001 a 100000 abitanti;laurea;coppia con figli;libero professionista;in nessuna area politica;Italiana;Si';Si, molto;in occasione delle principali feste;periferia;avverto difficolta';Occupato;Autonomi;;Alta;MILLENNIALS;Cattolico non praticante;0,89
9;Uomo;oltre 64 anni;nord-ovest;oltre 250000 abitanti;laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Non saprei;Si, abbastanza;non sono credente;periferia;avverto difficolta';Non occupato;Pensionati;Privato;Alta;BABY BOOMERS;non credente;0,26
10;Uomo;35-44 anni;nord-ovest;oltre 250000 abitanti;laurea;coppia con figli;quadro/direttivo/tecnico;a centro sinistra;Italiana;No;No, sarei molto contrario;mai;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Alta;MILLENNIALS;Cattolico non praticante;0,28
11;Uomo;55-64 anni;sud;da 30001 a 100000 abitanti;no laurea;coppia senza figli;impiegato;a centro destra;Italiana;Si';Si, abbastanza;la domenica;periferia;avverto difficolta';Occupato;Dipendenti;Pubblico;Media;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);1,58
12;Uomo;45-54 anni;sud;oltre 250000 abitanti;no laurea;coppia senza figli;altro lavoratore autonomo/agente di commercio/rappresentante;a centro sinistra;Italiana;Si';Si, abbastanza;in occasione delle principali feste;aree centrali di grandi citta';arrivo a fine mese con molte difficolta';Occupato;Autonomi;;Media;GENERAZIONE X;Cattolico non praticante;2,63
13;Donna;45-54 anni;nord-est;da 30001 a 100000 abitanti;laurea;coppia con figli;docente/insegnante di scuola superiore;a sinistra;Italiana;Non saprei;Non saprei;la domenica;altro;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,16
14;Donna;55-64 anni;centro;da 30001 a 100000 abitanti;laurea;genitore solo, con figli;quadro/direttivo/tecnico;al centro;Italiana;Si';Si, molto;la domenica;periferia;con tranquillita';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,23
15;Uomo;55-64 anni;centro;oltre 250000 abitanti;laurea;coppia senza figli;libero professionista;a centro sinistra;Italiana;No;No, sarei molto contrario;non sono credente;aree centrali di grandi citta';con tranquillita';Occupato;Autonomi;;Alta;BABY BOOMERS;non credente;0,24
16;Uomo;45-54 anni;sud;da 30001 a 100000 abitanti;laurea;coppia con figli;impiegato;a centro sinistra;Italiana;Si';Si, abbastanza;alcune volte l'anno;altro;con tranquillita';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;Cattolico non praticante;0,91
17;Uomo;oltre 64 anni;sud;oltre 250000 abitanti;laurea;coppia con figli;dirigente;in nessuna area politica;Italiana;Si';No, sarei contrario;non sono credente;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;BABY BOOMERS;non credente;0,36
18;Donna;oltre 64 anni;centro;da 100001 a 250000 abitanti;no laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;No;No, sarei molto contrario;2/3 volte alla settimana;periferia;con tranquillita';Non occupato;Pensionati;Privato;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);1,47
19;Uomo;45-54 anni;centro;oltre 250000 abitanti;laurea;coppia con figli;impiegato;al centro;Italiana;Non saprei;No, sarei molto contrario;non sono credente;aree centrali di grandi citta';con tranquillita';Occupato;Dipendenti;Privato;Alta;GENERAZIONE X;non credente;0,25
20;Uomo;oltre 64 anni;nord-ovest;fino a 5000 abitanti;no laurea;coppia senza figli;imprenditore;a centro destra;Italiana;Si';Si, molto;la domenica;periferia;con tranquillita';Occupato;Autonomi;;Bassa;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,71
21;Donna;55-64 anni;sud;da 30001 a 100000 abitanti;laurea;coppia con figli;ritirato dal lavoro/pensionato;a centro destra;Italiana;Si';No, sarei molto contrario;la domenica;altro;con tranquillita';Non occupato;Pensionati;Pubblico;Alta;BABY BOOMERS;Cattolico praticante (fino a 1 volta al mese);0,47
22;Uomo;55-64 anni;nord-ovest;da 5001 a 10000 abitanti;no laurea;genitore solo, con figli;quadro/direttivo/tecnico;a centro sinistra;Italiana;No;Si, abbastanza;alcune volte l'anno;piccoli centri;avverto difficolta';Occupato;Dipendenti;Pubblico;Media;BABY BOOMERS;Cattolico non praticante;0,66
23;Donna;oltre 64 anni;isole;da 30001 a 100000 abitanti;laurea;vive da solo +55 anni;ritirato dal lavoro/pensionato;in nessuna area politica;Italiana;Si';Si, molto;la domenica;altro;con tranquillita';Non occupato;Pensionati;Pubblico;Alta;SILENT;Cattolico praticante (fino a 1 volta al mese);0,96
24;Donna;45-54 anni;isole;da 30001 a 100000 abitanti;no laurea;coppia senza figli;insegnante di scuola media, elementare e materna;in nessuna area politica;Italiana;Non saprei;Si, abbastanza;alcune volte l'anno;altro;con tranquillita';Occupato;Dipendenti;Pubblico;Media;GENERAZIONE X;Cattolico non praticante;1,83
25;Donna;45-54 anni;nord-ovest;da 10001 a 30000 abitanti;no laurea;coppia senza figli;disoccupato (ex-occupato);in nessuna area politica;Italiana;Si';Si, molto;non sono credente;citta' medie;mi sento povero e non arrivo mai a fine mese;Non occupato;Disoccupati;Privato;Media;GENERAZIONE X;non credente;0,59
26;Donna;45-54 anni;nord-ovest;da 100001 a 250000 abitanti;laurea;coppia con figli;insegnante di scuola media, elementare e materna;a centro destra;Italiana;Si';Si, molto;la domenica;aree centrali di grandi citta';avverto difficolta';Occupato;Dipendenti;Pubblico;Alta;GENERAZIONE X;Cattolico praticante (fino a 1 volta al mese);0,2
27;Donna;oltre 64 anni;sud;fino a 5000 abitanti;no laurea;coppia senza figli;ritirato dal lavoro/pensionato;a centro sinistra;Italiana;Si';Non saprei;ogni giorno;piccoli centri;con tranquillita';Non occupato;Pensionati;Privato;Bassa;SILENT;Cattolico praticante (fino a 1 volta al mese);0,54
